scenario,dropout_p,trial,R_t_size,verify_ok,status
dropout_rate_sweep,0.0,0,30,True,verified
dropout_rate_sweep,0.0,1,30,True,verified
dropout_rate_sweep,0.0,2,30,True,verified
dropout_rate_sweep,0.0,3,30,True,verified
dropout_rate_sweep,0.0,4,30,True,verified
dropout_rate_sweep,0.0,5,30,True,verified
dropout_rate_sweep,0.0,6,30,True,verified
dropout_rate_sweep,0.0,7,30,True,verified
dropout_rate_sweep,0.0,8,30,True,verified
dropout_rate_sweep,0.0,9,30,True,verified
dropout_rate_sweep,0.0,10,30,True,verified
dropout_rate_sweep,0.0,11,30,True,verified
dropout_rate_sweep,0.0,12,30,True,verified
dropout_rate_sweep,0.0,13,30,True,verified
dropout_rate_sweep,0.0,14,30,True,verified
dropout_rate_sweep,0.0,15,30,True,verified
dropout_rate_sweep,0.0,16,30,True,verified
dropout_rate_sweep,0.0,17,30,True,verified
dropout_rate_sweep,0.0,18,30,True,verified
dropout_rate_sweep,0.0,19,30,True,verified
dropout_rate_sweep,0.1,0,26,True,verified
dropout_rate_sweep,0.1,1,24,True,verified
dropout_rate_sweep,0.1,2,22,True,verified
dropout_rate_sweep,0.1,3,28,True,verified
dropout_rate_sweep,0.1,4,22,True,verified
dropout_rate_sweep,0.1,5,23,True,verified
dropout_rate_sweep,0.1,6,25,True,verified
dropout_rate_sweep,0.1,7,22,True,verified
dropout_rate_sweep,0.1,8,29,True,verified
dropout_rate_sweep,0.1,9,21,True,verified
dropout_rate_sweep,0.1,10,26,True,verified
dropout_rate_sweep,0.1,11,23,True,verified
dropout_rate_sweep,0.1,12,25,True,verified
dropout_rate_sweep,0.1,13,27,True,verified
dropout_rate_sweep,0.1,14,26,True,verified
dropout_rate_sweep,0.1,15,24,True,verified
dropout_rate_sweep,0.1,16,26,True,verified
dropout_rate_sweep,0.1,17,23,True,verified
dropout_rate_sweep,0.1,18,24,True,verified
dropout_rate_sweep,0.1,19,19,True,verified
dropout_rate_sweep,0.2,0,21,True,verified
dropout_rate_sweep,0.2,1,21,True,verified
dropout_rate_sweep,0.2,2,21,True,verified
dropout_rate_sweep,0.2,3,18,True,verified
dropout_rate_sweep,0.2,4,18,True,verified
dropout_rate_sweep,0.2,5,17,True,verified
dropout_rate_sweep,0.2,6,19,True,verified
dropout_rate_sweep,0.2,7,22,True,verified
dropout_rate_sweep,0.2,8,20,True,verified
dropout_rate_sweep,0.2,9,17,True,verified
dropout_rate_sweep,0.2,10,17,True,verified
dropout_rate_sweep,0.2,11,24,True,verified
dropout_rate_sweep,0.2,12,17,True,verified
dropout_rate_sweep,0.2,13,16,True,verified
dropout_rate_sweep,0.2,14,23,True,verified
dropout_rate_sweep,0.2,15,19,True,verified
dropout_rate_sweep,0.2,16,20,True,verified
dropout_rate_sweep,0.2,17,16,True,verified
dropout_rate_sweep,0.2,18,20,True,verified
dropout_rate_sweep,0.2,19,18,True,verified
dropout_rate_sweep,0.3,0,12,True,verified
dropout_rate_sweep,0.3,1,13,True,verified
dropout_rate_sweep,0.3,2,18,True,verified
dropout_rate_sweep,0.3,3,14,True,verified
dropout_rate_sweep,0.3,4,16,True,verified
dropout_rate_sweep,0.3,5,12,True,verified
dropout_rate_sweep,0.3,6,13,True,verified
dropout_rate_sweep,0.3,7,11,True,verified
dropout_rate_sweep,0.3,8,14,True,verified
dropout_rate_sweep,0.3,9,16,True,verified
dropout_rate_sweep,0.3,10,11,True,verified
dropout_rate_sweep,0.3,11,13,True,verified
dropout_rate_sweep,0.3,12,14,True,verified
dropout_rate_sweep,0.3,13,15,True,verified
dropout_rate_sweep,0.3,14,16,True,verified
dropout_rate_sweep,0.3,15,16,True,verified
dropout_rate_sweep,0.3,16,16,True,verified
dropout_rate_sweep,0.3,17,15,True,verified
dropout_rate_sweep,0.3,18,11,True,verified
dropout_rate_sweep,0.3,19,11,True,verified
dropout_rate_sweep,0.5,0,6,True,verified
dropout_rate_sweep,0.5,1,6,True,verified
dropout_rate_sweep,0.5,2,6,True,verified
dropout_rate_sweep,0.5,3,12,True,verified
dropout_rate_sweep,0.5,4,6,True,verified
dropout_rate_sweep,0.5,5,4,,aborted
dropout_rate_sweep,0.5,6,12,True,verified
dropout_rate_sweep,0.5,7,5,True,verified
dropout_rate_sweep,0.5,8,7,True,verified
dropout_rate_sweep,0.5,9,6,True,verified
dropout_rate_sweep,0.5,10,11,True,verified
dropout_rate_sweep,0.5,11,10,True,verified
dropout_rate_sweep,0.5,12,8,True,verified
dropout_rate_sweep,0.5,13,6,True,verified
dropout_rate_sweep,0.5,14,7,True,verified
dropout_rate_sweep,0.5,15,7,True,verified
dropout_rate_sweep,0.5,16,8,True,verified
dropout_rate_sweep,0.5,17,6,True,verified
dropout_rate_sweep,0.5,18,3,,aborted
dropout_rate_sweep,0.5,19,7,True,verified
single_side_dropout,,0,,,client0_in_set=True
single_side_dropout,,1,,,client1_in_set=True
single_side_dropout,,2,,,client2_in_set=False
single_side_dropout,,3,,,client3_in_set=False
single_side_dropout,,4,,,client4_in_set=False
single_side_dropout,,5,,,client5_in_set=False
